Frame,ID,X,Y,W,H
5,0,444,93,49,95
6,0,473,102,26,88
8,1,486,111,27,88
9,1,491,118,29,88
10,1,497,124,29,92
11,1,497,134,28,63
12,2,467,199,69,37
23,3,409,183,44,57
23,4,376,140,37,49
24,5,353,137,91,104
25,5,362,134,70,106
26,5,351,119,64,120
27,5,341,122,64,119
28,6,273,193,56,32
28,5,331,125,64,112
29,5,317,127,66,102
30,5,300,133,69,98
31,5,281,133,72,97
32,5,264,128,77,104
33,5,249,144,74,94
34,5,235,137,72,121
35,7,202,110,93,138
36,8,215,20,123,215
37,8,169,20,169,217
38,9,199,143,72,91
39,10,189,20,148,212
40,11,181,81,76,161
41,11,174,98,75,134
42,11,166,120,77,126
43,11,152,133,83,128
44,11,146,137,84,131
45,11,128,141,95,161
46,11,127,142,93,160
47,11,127,129,91,174
48,11,128,117,89,186
49,11,128,111,92,192
50,11,128,111,95,193
51,11,128,116,98,186
52,12,171,124,64,71
53,12,177,129,68,96
54,12,184,126,74,69
55,12,192,123,75,105
56,12,200,121,72,108
57,12,207,113,68,114
58,12,215,111,61,112
59,12,222,108,69,110
60,12,229,106,66,111
61,12,237,124,63,101
62,12,243,109,62,121
63,12,250,125,61,108
64,12,257,125,64,109
65,12,263,115,68,116
66,12,270,114,71,113
67,12,281,111,69,115
68,12,292,103,66,121
69,12,300,87,65,135
70,12,306,83,66,137
71,12,312,90,67,126
72,12,319,103,66,109
73,12,326,102,66,108
74,12,332,90,65,119
75,12,339,91,66,119
76,12,346,99,66,115
77,12,353,105,68,115
78,12,361,113,69,114
79,12,369,132,69,100
80,12,379,138,64,98
81,12,384,143,63,93
82,12,350,143,100,131
83,13,391,143,61,91
84,14,365,160,87,103
85,14,372,162,80,98
86,14,379,164,73,95
87,14,385,163,67,96
93,15,459,108,48,40
94,15,465,97,42,60
95,16,448,85,56,35
96,16,450,75,47,35
104,17,423,81,55,33
105,18,422,56,113,68
106,18,423,45,70,68
107,18,408,42,89,71
108,18,405,53,90,65
109,18,412,50,77,64
110,18,418,48,67,103
111,18,433,61,52,93
112,18,436,61,53,95
113,18,415,46,78,114
114,18,414,43,85,121
115,18,416,39,87,125
116,18,420,35,89,128
117,18,425,31,87,139
118,18,430,29,87,139
119,18,433,22,88,139
120,18,437,20,90,141
121,18,441,20,88,140
122,18,447,22,84,137
123,18,467,60,65,97
123,19,451,31,49,31
124,18,456,40,77,119
125,18,461,40,71,122
126,18,466,51,70,112
127,18,478,51,61,113
128,18,498,42,44,120
129,18,491,45,54,121
130,18,493,48,53,123
131,18,494,50,55,123
132,18,498,51,51,125
133,18,499,49,51,127
134,18,514,48,40,124
135,18,517,67,39,100
136,18,514,47,44,115
137,18,520,48,38,115
138,18,522,50,36,114
139,18,528,78,30,90
140,18,523,86,36,86
141,18,497,93,61,83
152,20,457,57,46,84
162,21,396,91,67,90
163,21,392,68,80,122
164,21,388,99,50,91
164,22,389,61,62,63
165,21,385,102,47,88
166,21,362,88,82,103
167,21,351,90,87,101
168,21,360,89,72,111
169,21,373,91,42,99
170,21,371,74,44,116
171,21,368,87,84,101
172,23,363,24,93,163
173,23,345,20,82,164
174,23,352,69,64,115
175,23,340,68,67,118
176,23,339,73,61,116
177,23,329,76,71,116
178,23,320,82,81,126
179,23,302,88,99,112
180,23,288,95,110,126
181,23,319,101,79,122
182,23,322,105,76,118
183,23,327,100,76,122
184,23,333,94,71,125
185,24,351,163,57,55
185,23,339,117,67,55
186,24,346,163,66,54
186,25,345,76,74,89
187,24,352,164,48,53
187,25,356,46,70,112
188,24,358,164,42,52
188,25,371,42,56,113
189,25,379,47,55,106
190,25,383,62,35,91
